ciudad;estado;id estado;;;;;ciudad;cod ciuda
VILLAMARIA;CALDAS;18;;;;;VILLAMARIA;94
RETIRO;ANTIOQUIA;2;;;;;RETIRO;95
LA PLATA;HUILA;6;;;;;LA PLATA;96
DON MATIAS;ANTIOQUIA;2;;;;;DON MATIAS;97
Bagaces;Guanacaste;23;;;;;Bagaces;98
YOTOCO;VALLE DEL CAUCA;3;;;;;YOTOCO;99
BUCARAMANGA;SANTANDER;7;;;;;BUCARAMANGA;100
HOBO;TOLIMA;5;;;;;HOBO;101
GIRON;SANTANDER;7;;;;;GIRON;102
SAN JOAQUIN;RISARALDA;19;;;;;SAN JOAQUIN;103
LABATECA;VALLE DEL CAUCA;3;;;;;LABATECA;104
CABUYARO;TOLIMA;5;;;;;CABUYARO;105
MONTELIBANO;CORDOBA;1;;;;;MONTELIBANO;106
YAGUARA;HUILA;6;;;;;YAGUARA;107
ICONONZO;TOLIMA;5;;;;;ICONONZO;108
PUERTO TEJADA;CAUCA;11;;;;;PUERTO TEJADA;109
HONDA;TOLIMA;5;;;;;HONDA;110
SANTANDER DE QUILICHAO;CAUCA;11;;;;;SANTANDER DE QUILICHAO;111
VIGIA DEL FUERTE;CALDAS;18;;;;;VIGIA DEL FUERTE;112
CAUCASIA;ANTIOQUIA;2;;;;;CAUCASIA;113
OBANDO;VALLE DEL CAUCA;3;;;;;OBANDO;114
LEGUIZAMO;CAUCA;11;;;;;LEGUIZAMO;115
ROSAS;CAUCA;11;;;;;ROSAS;116
EL CARMEN DE VIBORAL;ANTIOQUIA;2;;;;;EL CARMEN DE VIBORAL;117
ZIPAQUIRA;CUNDINAMARCA;8;;;;;ZIPAQUIRA;118
JERICO;ANTIOQUIA;2;;;;;JERICO;119
LA CAPILLA;ANTIOQUIA;2;;;;;LA CAPILLA;120
ALCALA;VALLE DEL CAUCA;3;;;;;ALCALA;121
ALBANIA;VALLE DEL CAUCA;3;;;;;ALBANIA;122
PUERTO RONDON;ANTIOQUIA;2;;;;;PUERTO RONDON;123
CHIA;CUNDINAMARCA;8;;;;;CHIA;124
SAN PEDRO;VALLE DEL CAUCA;3;;;;;SAN PEDRO;125
CALDAS;ANTIOQUIA;2;;;;;CALDAS;126
GALAPA;ATLANTICO;4;;;;;GALAPA;127
SAN ANDRES DE CUERQUIA;ANTIOQUIA;2;;;;;SAN ANDRES DE CUERQUIA;128
SALDAÑA;TOLIMA;5;;;;;SALDAÑA;129
FRESNO;TOLIMA;5;;;;;FRESNO;130
DAGUA;VALLE DEL CAUCA;3;;;;;DAGUA;131
FUNZA;CUNDINAMARCA;8;;;;;FUNZA;132
TURBACO;BOLIVAR;10;;;;;TURBACO;133
PRADO;TOLIMA;5;;;;;PRADO;134
MONTERIA;CORDOBA;1;;;;;MONTERIA;135
SAMPUES;VALLE DEL CAUCA;3;;;;;SAMPUES;136
GIRARDOT;CUNDINAMARCA;8;;;;;GIRARDOT;137
MAICAO;LA GUAJIRA;24;;;;;MAICAO;138
ANSERMANUEVO;VALLE DEL CAUCA;3;;;;;ANSERMANUEVO;139
MARIQUITA;TOLIMA;5;;;;;MARIQUITA;140
SEVILLA;VALLE DEL CAUCA;3;;;;;SEVILLA;141
ARMENIA;QUINDIO;17;;;;;ARMENIA;142
LA CUMBRE;VALLE DEL CAUCA;3;;;;;LA CUMBRE;143
LA UVITA;VALLE DEL CAUCA;3;;;;;LA UVITA;144
SAN LUIS DE GACENO;ANTIOQUIA;2;;;;;SAN LUIS DE GACENO;145
MADRID;CUNDINAMARCA;8;;;;;MADRID;146
MALAMBO;ATLANTICO;4;;;;;MALAMBO;147
CARMEN DE APICALA;TOLIMA;5;;;;;CARMEN DE APICALA;148
PANA PANA;ANTIOQUIA;2;;;;;PANA PANA;149
SOGAMOSO;BOYACA;15;;;;;SOGAMOSO;150
ANDALUCIA;VALLE DEL CAUCA;3;;;;;ANDALUCIA;151
FLORESTA;SANTANDER;7;;;;;FLORESTA;152
GAMBITA;HUILA;6;;;;;GAMBITA;153
ESPINAL;TOLIMA;5;;;;;ESPINAL;154
RONCESVALLES;TOLIMA;5;;;;;RONCESVALLES;155
URRAO;ANTIOQUIA;2;;;;;URRAO;156
PITALITO;HUILA;6;;;;;PITALITO;157
SAN LUIS;ANTIOQUIA;2;;;;;SAN LUIS;158
ARACATACA;CUNDINAMARCA;8;;;;;ARACATACA;159
SAN ROQUE;ANTIOQUIA;2;;;;;SAN ROQUE;160
