Equipo/µrea;Equipo/Vicepresidencia;Num
BIENES INMUEBLES I (CLS53000089);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);287
MANTENIMIENTO TYD ZONA (CLS53000260);TRANSMISION Y DISTRIBUCION (CLS80000008);288
GESTION MANTENIMIENTO CENTRALES (CLS53000387);GENERACION (CLS80000006);289
SOCIOAMBIENTAL CORPORATIVO (CLS53000530);ASUNTOS CORPORATIVOS (CLS80000002);290
DESEMPE¥O TECNOLOGIA (CLS53000511);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);291
ESTRATEGIA TECNOLOGIA (CLS53000554);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);292
CONSOLIDACION CONTABLE Y NIIF (CLS51000678);FINANCIERA (CLS80000005);293
SUPERVISION TURNO II CTC (CLS53000078);CELSIA CENTROAMERICA (CLS80000009);294
SOCIO GESTION HUMANA (CLS53000054);CELSIA CENTROAMERICA (CLS80000009);295
GESTION HUMANA Y ADMINISTRATIVA (CLS52000012);CELSIA CENTROAMERICA (CLS80000009);296
MANTENIMIENTO CIVIL DMA (CLS53000070);CELSIA CENTROAMERICA (CLS80000009);297
ABASTECIMIENTO ESTRATEGICO (CLS52000007);CELSIA CENTROAMERICA (CLS80000009);298
GESTION DE RECURSOS (CLS53000045);CELSIA CENTROAMERICA (CLS80000009);299
GERENCIA CTC (CLS52000029);CELSIA CENTROAMERICA (CLS80000009);300
GESTION CONTABLE CA (CLS53000044);FINANCIERA (CLS80000005);301
MANTENIMIENTO CTC (CLS52000033);CELSIA CENTROAMERICA (CLS80000009);302
COMPENSACION Y PRODUCTIVIDAD (CLS53000055);CELSIA CENTROAMERICA (CLS80000009);303
SUPERVISION TURNO I CTC (CLS53000077);CELSIA CENTROAMERICA (CLS80000009);304
SUPERVISION MANTENIMIENTO ELECTRICO (CLS53000198);CELSIA CENTROAMERICA (CLS80000009);305
SUPERVISION DE TURNO (CLS53000553);CELSIA CENTROAMERICA (CLS80000009);306
SUPERVISION DE TURNO (CLS53000337);CELSIA CENTROAMERICA (CLS80000009);307
SUPERVISION DE TURNO (CLS53000338);CELSIA CENTROAMERICA (CLS80000009);308
SOPORTE DE PROYECTOS Y MERCADOS ELECTRICOS (CLS52000044);CELSIA CENTROAMERICA (CLS80000009);309
SUPERVISION DE TURNO III CTC (CLS53000080);CELSIA CENTROAMERICA (CLS80000009);310
MANTENIMIENTO ELECTRICO COMPLEJO TERMICO COLON (CLS53000493);CELSIA CENTROAMERICA (CLS80000009);311
OPERACIONES CATIVA (CLS53000046);CELSIA CENTROAMERICA (CLS80000009);312
INSTRUMENTACION Y CONTROL COMPLEJO TERMICO COLON (CLS53000491);CELSIA CENTROAMERICA (CLS80000009);313
OPERACIONES CTC (CLS53000076);CELSIA CENTROAMERICA (CLS80000009);314
SUPERVISION TURNO I CATIVA (CLS53000047);CELSIA CENTROAMERICA (CLS80000009);315
CENTRAL HIDRAULICA SALVAJINA (CLS51000817);GENERACION (CLS80000006);316
GESTION DE RECURSOS DMA (CLS53000071);CELSIA CENTROAMERICA (CLS80000009);317
GESTION COMBUSTIBLES ZFC (CLS53000206);GENERACION (CLS80000006);318
CENTRAL MERIELETRICA (CLS51000332);GENERACION (CLS80000006);319
TECNOLOGIA CA (CLS53000053);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);320
INVESTIGACION Y DESARROLLO TECNOLOGIA (CLS53000473);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);321
PLANEACION FINANCIERA (CLS51000484);FINANCIERA (CLS80000005);322
GESTION DE COMBUSTIBLE (CLS51000487);GENERACION (CLS80000006);323
ALMACENAMIENTO Y MICRORREDES (CLS53000355);INNOVACION (CLS80000021);324
COMERCIO EXTERIOR (CLS53000373);FINANCIERA (CLS80000005);325
OPERACION TALENTO HUMANO (CLS51000526);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);326
LINEAS AT (CLS53000216);TRANSMISION Y DISTRIBUCION (CLS80000008);327
PROTECCION Y TELECONTROL ZONA (CLS53000399);TRANSMISION Y DISTRIBUCION (CLS80000008);328
MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA (CLS53000377);GENERACION (CLS80000006);329
MANTENIMIENTO MECANICO ALTO Y BAJO ANCHICAYA (CLS53000379);GENERACION (CLS80000006);330
INFRAESTRUCTURA CIVIL Y GESTION DE PRESAS (CLS53000191);GENERACION (CLS80000006);331
PLANEACION ABASTECIMIENTO (CLS53000005);FINANCIERA (CLS80000005);332
MANTENIMIENTO MECANICO ALTO Y BAJO ANCHICAYA (CLS53000380);GENERACION (CLS80000006);333
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA (CLS53000213);CELSIA CENTROAMERICA (CLS80000009);334
SUPERVISION DE TURNO IV (CLS53000068);CELSIA CENTROAMERICA (CLS80000009);335
PROYECTOS ESPECIALES GENERACION CA (CLS53000017);GENERACION (CLS80000006);336
ALMACEN PANAMA (CLS53000406);FINANCIERA (CLS80000005);337
PLANEAMIENTO DMA (CLS53000063);CELSIA CENTROAMERICA (CLS80000009);338
PLANEACION DE MANTENIMIENTO (CLS53000199);CELSIA CENTROAMERICA (CLS80000009);339
SUPERVISION TURNO III CATIVA (CLS53000049);CELSIA CENTROAMERICA (CLS80000009);340
MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO (CLS53000336);CELSIA CENTROAMERICA (CLS80000009);341
TECNICO PROYECTOS (CLS53000413);CELSIA CENTROAMERICA (CLS80000009);342
AMBIENTE (CLS52000022);CELSIA CENTROAMERICA (CLS80000009);343
COMPLEJO TERMICO COLON (CLS53000409);CELSIA CENTROAMERICA (CLS80000009);344
COMUNICACIONES SOSTENIBILIDAD Y GESTION SOCIAL (CLS53000315);CELSIA CENTROAMERICA (CLS80000009);345
MANTENIMIENTO ELECTRICO PRADO Y CUCUANA (CLS53000382);GENERACION (CLS80000006);346
PMO TECNOLOGIA (CLS53000511);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);347
REDES MTBT (CLS53000236);TRANSMISION Y DISTRIBUCION (CLS80000008);348
PROVISION SERVICIO OBRAS Y MULTISERVICIOS (CLS51000886);TRANSMISION Y DISTRIBUCION (CLS80000008);349
OPERACION DE LA MEDIDA ZONA (CLS53000227);TRANSMISION Y DISTRIBUCION (CLS80000008);350
HOGARES (CLS51000668);COMERCIAL (CLS80000004);351
INGENIERIA DE PRUEBAS (CLS53000401);TRANSMISION Y DISTRIBUCION (CLS80000008);352
ESTRATEGIA ABASTECIMIENTO (CLS53000320);FINANCIERA (CLS80000005);353
EXPERIENCIAS DE SERVICIO ZONA (CLS53000372);COMERCIAL (CLS80000004);354
PLANEACION Y OPERACION MERCADOS ENERGETICOS (CLS51000488);GENERACION (CLS80000006);355
INTELIGENCIA DE MERCADOS (CLS53000612);ASUNTOS REGULATORIOS (CLS80000003);356
BIENES INMUEBLES (CLS51000909);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);357
INFRAESTRUCTURA ELECTRICA Y MANTENIMIENTO (CLS53000448);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);358
MANTENIMIENTO PREDICTIVO ELECTRICO (CLS53000598);GENERACION (CLS80000006);359
TESORERIA (CLS52000011);FINANCIERA (CLS80000005);360
ASUNTOS REGULATORIOS Y DESARROLLO DE MERCADOS (CLS53000366);CELSIA CENTROAMERICA (CLS80000009);361
OPERACION TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS53000438);CELSIA CENTROAMERICA (CLS80000009);362
GESTION SOCIOAMBIENTAL GENERACION (CLS51000703);GENERACION (CLS80000006);363
GENERACION (CLS50000052);GENERACION (CLS80000006);364
INGENIERIA DE PROCESOS Y DISE¥O ORGANIZACIONAL (CLS51000792);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);365
PRESIDENCIA (CLS50000050);PRESIDENCIA (CLS80000001);366
INGENIERIA DE APOYO (CLS51000702);GENERACION (CLS80000006);367
OBRAS CIVILES ACUEDUCTOS Y STAR (CLS53000388);GENERACION (CLS80000006);368
ALMACEN (CLS53000557);FINANCIERA (CLS80000005);369
GENERACION HIDRAULICA Y EOLICA (CLS53000585);GENERACION (CLS80000006);370
CONFIABILIDAD DE ACTIVOS (CLS53000594);GENERACION (CLS80000006);371
SISTEMAS FOTOVOLTAICOS (CLS53000616);TRANSMISION Y DISTRIBUCION (CLS80000008);372
GESTION TECNICA INTERNET (CLS53000512);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);373
DESARROLLO DE PRODUCTO ENERBIT (CLS53000620);ENERBIT (CLS80000022);374
SUPERVISION DE TURNO II (CLS53000066);CELSIA CENTROAMERICA (CLS80000009);375
SUPERVISION TURNO I (CLS53000065);CELSIA CENTROAMERICA (CLS80000009);376
REVERDEC (CLS53000603);GENERACION (CLS80000006);377
OPERACIONES Y MANTENIMIENTO ACTIVOS FOTOVOLTAICOS CA (CLS53000429);CELSIA CENTROAMERICA (CLS80000009);378
AUDITORIA CA (CLS53000412);AUDITORIA CORPORATIVA (CLS80000020);379
MANTENIMIENTO ELECTRICO DMA (CLS53000073);CELSIA CENTROAMERICA (CLS80000009);380
INTERVENTORIA ZONA VALLE (CLS53000614);TRANSMISION Y DISTRIBUCION (CLS80000008);381
SALUD DE EQUIPOS (CLS53000249);TRANSMISION Y DISTRIBUCION (CLS80000008);382
OPERACION TYD (CLS51000660);TRANSMISION Y DISTRIBUCION (CLS80000008);383
FINANZAS CORPORATIVAS (CLS50000061);FINANCIERA (CLS80000005);384
SERVICIO PRESENCIAL (CLS53000541);COMERCIAL (CLS80000004);385
ADMINISTRACION VENTAS (CLS51000671);COMERCIAL (CLS80000004);386
OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE NORTE (CLS53000398);TRANSMISION Y DISTRIBUCION (CLS80000008);387
MANTENIMIENTO MECANICO PRADO Y CUCUANA (CLS53000600);GENERACION (CLS80000006);388
GESTION DEL CAMBIO (CLS53000467);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);389
AUDITORIA CORPORATIVA (CLS50000058);PRESIDENCIA (CLS80000001);390
Direccion de Operaciones y Proyectos (CA12000);CELSIA CENTROAMERICA (51000551);391
OPERACIONES COMPLEJO HIDRICO CHIRIQUI (CLS53000064);CELSIA CENTROAMERICA (CLS80000009);392
GESTION CENTRO DE OPERACIONES TECNOLOGIA (CLS53000535);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);393
OPERACIONES COMPLEJO TERMICO COLON (CLS53000502);CELSIA CENTROAMERICA (CLS80000009);394
FINANCIERA (CLS50000053);FINANCIERA (CLS80000005);395
GESTION DE RECURSOS COMPLEJO TERMICO COLON (CLS53000503);CELSIA CENTROAMERICA (CLS80000009);396
NEGOCIO DISTRITO TERMICO Y EFICIENCIA ENERGETICA (CLS53000623);COMERCIAL (CLS80000004);397
ENERBIT (CLS53000523);ENERBIT (CLS80000022);398
