Equipo/µrea;Equipo/Vicepresidencia;Num
ESTRUCTURACION DE PROYECTOS EFICIENCIA ENERGETICA (CLS53000472);COMERCIAL (CLS80000004);66
DIGITALIZACION EFICIENCIA ENERGETICA (CLS53000483);COMERCIAL (CLS80000004);67
INGENIERIA BASICA Y DE OFERTAS SISTEMAS FOTOVOLTAICOS (CLS53000023);TRANSMISION Y DISTRIBUCION (CLS80000008);68
DESARROLLO ORGANIZACIONAL (CLS51000477);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);69
CRECIMIENTO Y EXPERIENCIA (CLS53000524);ENERBIT (CLS80000022);70
EXPERIENCIAS DE SERVICIO ZONA (CLS53000319);COMERCIAL (CLS80000004);71
EXPERIENCIAS DE SERVICIO (CLS53000564);COMERCIAL (CLS80000004);72
ANALITICA (CLS53000475);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);73
EXPERIENCIAS DE SERVICIO (CLS53000566);COMERCIAL (CLS80000004);74
EXPERIENCIAS DE SERVICIO ZONA (CLS53000369);COMERCIAL (CLS80000004);75
SOCIOAMBIENTAL OPERACION GENERACION (CLS53000601);GENERACION (CLS80000006);76
DEVOPS TECNOLOGIA NEGOCIO (CLS53000546);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);77
SERVICIO POSVENTA CLIENTES B2B (CLS53000534);COMERCIAL (CLS80000004);78
LINEAS Y REDES TOLIMA SUR (CLS53000584);TRANSMISION Y DISTRIBUCION (CLS80000008);79
CONSTRUCCION PROYECTOS SOCIALES (CLS53000586);GENERACION (CLS80000006);80
MANTENIMIENTO INSTRUMENTACION Y CONTROL TERMICAS (CLS53000488);GENERACION (CLS80000006);81
SOPORTE COMPRAS (CLS53000375);FINANCIERA (CLS80000005);82
CENTRO DE CONTROL (CLS53000345);TRANSMISION Y DISTRIBUCION (CLS80000008);83
FACTURACION MEDIDA (CLS53000558);COMERCIAL (CLS80000004);84
LINEAS Y REDES TOLIMA NORTE (CLS53000583);TRANSMISION Y DISTRIBUCION (CLS80000008);85
TESORERIA (CLS51000770);FINANCIERA (CLS80000005);86
RIESGOS Y SISTEMA GESTION DE ACTIVOS (CLS53000283);FINANCIERA (CLS80000005);87
EVALUACION INTEGRAL DEL NEGOCIO (CLS53000394);TRANSMISION Y DISTRIBUCION (CLS80000008);88
EXPERIENCIA CLIENTES (CLS53000529);ENERBIT (CLS80000022);89
ASEGURAMIENTO Y CALIDAD DE LA OPERACION (CLS51000887);TRANSMISION Y DISTRIBUCION (CLS80000008);90
NEGOCIOS REGULADOS (CLS53000308);ASUNTOS REGULATORIOS (CLS80000003);91
PLANEACION Y DESEMPE¥O TYD (CLS53000562);TRANSMISION Y DISTRIBUCION (CLS80000008);92
ADMINISTRACION ALIADOS (CLS51000908);COMERCIAL (CLS80000004);93
DESARROLLO DE PRODUCTOS (CLS53000027);COMERCIAL (CLS80000004);94
OBRAS CIVILES PROYECTOS (CLS53000207);GENERACION (CLS80000006);95
RELACIONAMIENTO Y GESTION (CLS53000321);FINANCIERA (CLS80000005);96
RED DIGITAL 2.0 (CLS53000482);TRANSMISION Y DISTRIBUCION (CLS80000008);97
COMUNICACIONES EXTERNAS (CLS51000796);ASUNTOS CORPORATIVOS (CLS80000002);98
CUMPLIMIENTO (CLS53000239);ASUNTOS CORPORATIVOS (CLS80000002);99
SOLUCIONES AL COLABORADOR (CLS53000281);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);100
GESTION DE LA MEDIDA (CLS53000265);TRANSMISION Y DISTRIBUCION (CLS80000008);101
DISE¥O EXPERIENCIA CLIENTES (CLS53000610);COMERCIAL (CLS80000004);102
CENTRAL GENERACION (CLS53000588);GENERACION (CLS80000006);103
GESTION TECNOLOGIAS OPERACION TYD (CLS53000506);TRANSMISION Y DISTRIBUCION (CLS80000008);104
PROYECTOS RED PROPIA (CLS51000900);TRANSMISION Y DISTRIBUCION (CLS80000008);105
GESTION MULTISERVICIOS Y HOGAR MAS (CLS53000481);COMERCIAL (CLS80000004);106
INGENIERIA DE DETALLE SISTEMAS FOTOVOLTAICOS (CLS53000357);TRANSMISION Y DISTRIBUCION (CLS80000008);107
OBRAS CIVILES PROYECTOS (CLS53000428);GENERACION (CLS80000006);108
DISTRITOS TERMICOS Y COGENERACION (CLS53000309);GENERACION (CLS80000006);109
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000592);GENERACION (CLS80000006);110
CENTRO DE CONTROL (CLS53000342);TRANSMISION Y DISTRIBUCION (CLS80000008);111
PROYECTO REDUCCION DE PERDIDAS ZONA VALLE (CLS53000039);TRANSMISION Y DISTRIBUCION (CLS80000008);112
PROCESOS COMERCIALES (CLS51000910);COMERCIAL (CLS80000004);113
PRESAS (CLS53000599);GENERACION (CLS80000006);114
EXPERIENCIAS DE SERVICIO ZONA (CLS53000370);COMERCIAL (CLS80000004);115
MANTENIMIENTO ELECTRICO CENTRALES GENERACION (CLS53000034);GENERACION (CLS80000006);116
EJECUCION CRECIMIENTO DE RED (CLS53000457);TRANSMISION Y DISTRIBUCION (CLS80000008);117
CENTRO DE OPERACIONES TIEMPO REAL INTERNET (CLS53000522);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);118
MANTENIMIENTO MECANICO CENTRALES GENERACION (CLS53000383);GENERACION (CLS80000006);119
PLANEACION CRECIMIENTO DE RED (CLS53000456);TRANSMISION Y DISTRIBUCION (CLS80000008);120
ENERGIA Y HOGARES (CLS53000278);COMERCIAL (CLS80000004);121
EXPERIENCIAS DE SERVICIO (CLS53000568);COMERCIAL (CLS80000004);122
SERVICIOS VIRTUALES (CLS53000539);COMERCIAL (CLS80000004);123
OPERACION INTERNET (CLS53000238);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);124
REGIONAL VALLE EMPRESAS (CLS53000293);COMERCIAL (CLS80000004);125
FACTURACION MEDIDA (CLS53000368);COMERCIAL (CLS80000004);126
INGENIERIA PARA EL DESARROLLO (CLS51000795);FINANCIERA (CLS80000005);127
REGIONAL COSTA (CLS53000289);COMERCIAL (CLS80000004);128
REGIONAL BOGOTA (CLS53000288);COMERCIAL (CLS80000004);129
CREDITOS (CLS53000333);COMERCIAL (CLS80000004);130
SEGURIDAD Y SALUD EN EL TRABAJO (CLS51000337);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);131
CONFIABILIDAD MANTENIMIENTO (CLS53000248);TRANSMISION Y DISTRIBUCION (CLS80000008);132
PROTECCIONES AUTOMATIZACION Y CONTROL (CLS51000843);GENERACION (CLS80000006);133
INGENIERIA DE APOYO AGUAS (CLS51000845);GENERACION (CLS80000006);134
ALMACEN (CLS53000376);FINANCIERA (CLS80000005);135
CENTRO DE CONTROL (CLS53000347);TRANSMISION Y DISTRIBUCION (CLS80000008);136
CONFIABILIDAD MANTENIMIENTO TYD (CLS53000248);TRANSMISION Y DISTRIBUCION (CLS80000008);137
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000595);GENERACION (CLS80000006);138
SUBESTACIONES VALLE SUR (CLS53000579);TRANSMISION Y DISTRIBUCION (CLS80000008);139
PROYECTOS TECHOS FOTOVOLTAICOS (CLS53000010);TRANSMISION Y DISTRIBUCION (CLS80000008);140
OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE SUR (CLS53000227);TRANSMISION Y DISTRIBUCION (CLS80000008);141
CENTRAL GENERACION (CLS53000590);GENERACION (CLS80000006);142
MANTENIIMENTO ZONA VALLE NORTE (CLS53000574);TRANSMISION Y DISTRIBUCION (CLS80000008);143
COMERCIAL INTERNET (CLS53000324);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);144
COBRO Y RECAUDO (CLS53000367);COMERCIAL (CLS80000004);145
VIAS Y OBRAS POR IMPUESTOS (CLS53000615);GENERACION (CLS80000006);146
COMPENSACION Y PLANEACION DEL TALENTO (CLS53000021);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);147
MANTENIMIENTO INTERNET (CLS53000329);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);148
MANTENIMIENTO ZONA CARIBE (CLS53000573);TRANSMISION Y DISTRIBUCION (CLS80000008);149
DEVOPS TECNOLOGIA (CLS53000460);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);150
SUBESTACIONES VALLE NORTE (CLS53000576);TRANSMISION Y DISTRIBUCION (CLS80000008);151
PLANEACION ABASTECIMIENTO (CLS53000326);FINANCIERA (CLS80000005);152
EXPERIENCIAS DE SERVICIO ZONA (CLS53000243);COMERCIAL (CLS80000004);153
SERVICIO A CLIENTES (CLS51000701);COMERCIAL (CLS80000004);154
PLANEACION DE LA OPERACION (CLS51000891);TRANSMISION Y DISTRIBUCION (CLS80000008);155
MANTENIMIENTO ZONA TOLIMA NORTE (CLS53000260);TRANSMISION Y DISTRIBUCION (CLS80000008);156
INGENIERIA DE APOYO TERMICAS (CLS51000846);GENERACION (CLS80000006);157
LINEAS Y REDES VALLE SUR (CLS53000582);TRANSMISION Y DISTRIBUCION (CLS80000008);158
VENTAS (CLS53000343);COMERCIAL (CLS80000004);159
NEGOCIOS EN COMPETENCIA (CLS52000018);ASUNTOS REGULATORIOS (CLS80000003);160
DISE¥O Y CONSTRUCCION INTERNET (CLS53000513);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);161
LINEAS Y REDES VALLE NORTE (CLS53000581);TRANSMISION Y DISTRIBUCION (CLS80000008);162
GESTION DE LA MEDIDA Y DEMANDA (CLS53000265);TRANSMISION Y DISTRIBUCION (CLS80000008);163
TIENDAS PROPIAS Y VENTAS EMPRESARIALES (CLS53000624);COMERCIAL (CLS80000004);164
CIBERSEGURIDAD (CLS53000025);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);165
VENTAS (CLS53000514);COMERCIAL (CLS80000004);166
DEVOPS TECNOLOGIA NEGOCIO (CLS53000544);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);167
PRESUPUESTO GENERACION (CLS53000209);GENERACION (CLS80000006);168
GESTION ADMINISTRATIVA SAC (CLS53000037);GENERACION (CLS80000006);169
MANTENIMIENTO LINEAS Y SUBESTACIONES (CLS53000361);TRANSMISION Y DISTRIBUCION (CLS80000008);170
LOGISTICA NACIONAL (CLS53000012);FINANCIERA (CLS80000005);171
CENTRAL HIDRAULICA ALTO Y BAJO ANCHICAYA (CLS51000814);GENERACION (CLS80000006);172
CANALES PROPIOS (CLS53000296);COMERCIAL (CLS80000004);173
RIESGOS Y SEGUROS (CLS51000505);FINANCIERA (CLS80000005);174
SERVICIO AL CLIENTE (CLS51000701);COMERCIAL (CLS80000004);175
RIESGOS (CLS53000283);FINANCIERA (CLS80000005);176
EXPERIENCIA DEL COLABORADOR Y CULTURA (CLS53000466);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);177
PROYECTO NOVA (CLS51000893);TRANSMISION Y DISTRIBUCION (CLS80000008);178
CENTRAL GENERACION (CLS53000589);GENERACION (CLS80000006);179
SISTEMAS FOTOVOLTAICOS (CLS51000704);TRANSMISION Y DISTRIBUCION (CLS80000008);180
CONTROL DE ENERGIA (CLS53000572);TRANSMISION Y DISTRIBUCION (CLS80000008);181
CENTRO DE CONTROL (CLS53000344);TRANSMISION Y DISTRIBUCION (CLS80000008);182
LABORATORIO DE MEDIDORES (CLS53000396);TRANSMISION Y DISTRIBUCION (CLS80000008);183
REGIONAL VALLE (CLS53000291);COMERCIAL (CLS80000004);184
MANTENIMIENTO ZONA VALLE SUR (CLS53000575);TRANSMISION Y DISTRIBUCION (CLS80000008);185
COMUNICACIONES (CLS51000485);ASUNTOS CORPORATIVOS (CLS80000002);186
EVALUACION DEL MANTENIMIENTO TYD (CLS51000859);TRANSMISION Y DISTRIBUCION (CLS80000008);187
FINANZAS DE PRODUCTO (CLS53000270);FINANCIERA (CLS80000005);188
MANTENIMIENTO REDES Y SUBESTACIONES ZONA (CLS53000273);TRANSMISION Y DISTRIBUCION (CLS80000008);189
ASUNTOS LABORALES CA (CLS53000504);CELSIA CENTROAMERICA (CLS80000009);190
SUPERVISION DE TURNO III (CLS53000067);CELSIA CENTROAMERICA (CLS80000009);191
MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO DMA (CLS53000069);CELSIA CENTROAMERICA (CLS80000009);192
FINANZAS (CLS53000525);ENERBIT (CLS80000022);193
MERCADOS FINANCIEROS (CLS53000418);FINANCIERA (CLS80000005);194
CONTROL QUIMICO (CLS53000497);CELSIA CENTROAMERICA (CLS80000009);195
MANTENIMIENTO MECANICO DMA (CLS53000072);CELSIA CENTROAMERICA (CLS80000009);196
MANTENIMIENTO ELECTROMECANICO CENTRALES (CLS53000214);CELSIA CENTROAMERICA (CLS80000009);197
COMPLEJO HIDRICO CHIRIQUI (CLS52000023);CELSIA CENTROAMERICA (CLS80000009);198
PLANEACION FINANCIERA (CLS52000010);FINANCIERA (CLS80000005);199
SUPERVISION DE TURNO (CLS53000496);CELSIA CENTROAMERICA (CLS80000009);200
LEGAL (CLS52000020);CELSIA CENTROAMERICA (CLS80000009);201
SUPERVISION DE TURNO (CLS53000498);CELSIA CENTROAMERICA (CLS80000009);202
TECNICO PRODUCTOS (CLS53000413);CELSIA CENTROAMERICA (CLS80000009);203
COMPLEJO TERMICO COLON (CLS53000494);CELSIA CENTROAMERICA (CLS80000009);204
COMERCIAL NUEVOS NEGOCIOS (CLS53000087);CELSIA CENTROAMERICA (CLS80000009);205
CELSIA CENTROAMERICA (CLS51000552);CELSIA CENTROAMERICA (CLS80000009);206
SUPERVISION DE TURNO (CLS53000495);CELSIA CENTROAMERICA (CLS80000009);207
OPERACIONES Y MANTENIMIENTO (CLS53000411);CELSIA CENTROAMERICA (CLS80000009);208
MANTENIMIENTO ME (CLS53000351);GENERACION (CLS80000006);209
OPERACION CENTRALES TERMICAS (CLS53000469);GENERACION (CLS80000006);210
GESTION DE LA MEDIDA ENERBIT (CLS53000621);ENERBIT (CLS80000022);211
SUPERVISION TURNO IV CTC (CLS53000081);CELSIA CENTROAMERICA (CLS80000009);212
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA (CLS53000052);CELSIA CENTROAMERICA (CLS80000009);213
PROYECTOS GENERACION (CLS51000486);PRESIDENCIA (CLS80000001);214
PLANTA EOLICA GUANACASTE (CLS52000036);CELSIA CENTROAMERICA (CLS80000009);215
OPERACIONES Y MANTENIMIENTO (CLS53000092);CELSIA CENTROAMERICA (CLS80000009);216
PLANEACION FINANCIERA (CLS52000010);CELSIA CENTROAMERICA (CLS80000009);217
SUPERVISION DE TURNO (CLS53000339);CELSIA CENTROAMERICA (CLS80000009);218
CONTROL QUIMICO (CLS52000031);CELSIA CENTROAMERICA (CLS80000009);219
GENERACION HIDRAULICA (CLS51000667);GENERACION (CLS80000006);220
NUEVOS NEGOCIOS PAIS (CLS53000061);CELSIA CENTROAMERICA (CLS80000009);221
OBRAS CIVILES PROYECTOS GENERACION (CLS53000036);GENERACION (CLS80000006);222
RECURSOS TERMICAS (CLS51000913);GENERACION (CLS80000006);223
MANTENIMIENTO TERMICAS (CLS51000771);GENERACION (CLS80000006);224
MANTENIMIENTO MECANICO COMPLEJO TERMICO COLON (CLS53000501);CELSIA CENTROAMERICA (CLS80000009);225
EQUIPOS ELECTRICOS PROYECTOS (CLS53000548);GENERACION (CLS80000006);226
EXPERIENCIAS DE SERVICIO ZONA (CLS53000371);COMERCIAL (CLS80000004);227
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000597);GENERACION (CLS80000006);228
DESARROLLO LOGISTICO (CLS53000556);FINANCIERA (CLS80000005);229
HIDROGENO (CLS53000604);INNOVACION (CLS80000021);230
OPERACIONES COMERCIALES (CLS51000754);COMERCIAL (CLS80000004);231
ACTIVOS FIJOS (CLS53000246);FINANCIERA (CLS80000005);232
PLANEACION MANTENIMIENTO LINEAS REDES Y UIETD (CLS53000231);TRANSMISION Y DISTRIBUCION (CLS80000008);233
VENTAS Y OPERACIONES RETAIL (CLS53000617);COMERCIAL (CLS80000004);234
CRECIMIENTO RED (CLS53000031);TRANSMISION Y DISTRIBUCION (CLS80000008);235
MANTENIMIENTO INSTRUMENTACION CENTRALES GENERACION (CLS53000196);GENERACION (CLS80000006);236
PLANEACION DEL MANTENIMIENTO TYD (CLS53000232);TRANSMISION Y DISTRIBUCION (CLS80000008);237
INTERNET (CLS53000318);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);238
DISE¥O Y CONSTRUCCION INTERNET (CLS53000512);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);239
GESTION TECNICA GENERACION HIDRAULICA Y EOLICA (CLS53000587);GENERACION (CLS80000006);240
OPERACION TERMICA (CLS51000773);GENERACION (CLS80000006);241
GENERACION TERMICA (CLS53000350);GENERACION (CLS80000006);242
COMERCIO EXTERIOR Y ZONA FRANCA (CLS51000775);FINANCIERA (CLS80000005);243
CENTRAL HIDRAULICA PRADO Y CUCUANA (CLS51000816);GENERACION (CLS80000006);244
PROTECCION DE RECURSOS (CLS51000329);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);245
SOCIOAMBIENTAL (CLS51000703);GENERACION (CLS80000006);246
PMO TYD (CLS51000858);TRANSMISION Y DISTRIBUCION (CLS80000008);247
MANTENIMIENTO TYD (CLS51000659);TRANSMISION Y DISTRIBUCION (CLS80000008);248
CIUDADES Y EMPRESAS (CLS53000279);COMERCIAL (CLS80000004);249
INTELIGENCIA COMPETITIVA (CLS53000505);COMERCIAL (CLS80000004);250
GESTION TYD (CLS51000658);TRANSMISION Y DISTRIBUCION (CLS80000008);251
COMUNICACIONES MARCA (CLS51000798);ASUNTOS CORPORATIVOS (CLS80000002);252
ATRACCION CULTURA Y DESARROLLO DEL TALENTO (CLS53000030);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);253
SOCIOAMBIENTAL TYD (CLS53000403);TRANSMISION Y DISTRIBUCION (CLS80000008);254
CENTRAL HIDRAULICA CALIMA (CLS51000815);GENERACION (CLS80000006);255
GESTION MEDIDA Y PERDIDAS (CLS53000395);TRANSMISION Y DISTRIBUCION (CLS80000008);256
MANTENIMIENTO TYD ZONA VALLE NORTE (CLS51000864);TRANSMISION Y DISTRIBUCION (CLS80000008);257
EMPRESAS (CLS51000669);COMERCIAL (CLS80000004);258
GESTION CONTRATISTAS (CLS51000809);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);259
COMPRAS CORPORATIVAS (CLS53000006);FINANCIERA (CLS80000005);260
MANTENIMIENTO TYD ZONA CARIBE (CLS51000863);TRANSMISION Y DISTRIBUCION (CLS80000008);261
SERVICIO HOGAR MAS (CLS53000298);COMERCIAL (CLS80000004);262
MANTENIMIENTO ELECTRICO ALTO Y BAJO ANCHICAYA (CLS53000378);GENERACION (CLS80000006);263
DESARROLLO DE SOLUCIONES TECNOLOGIA (CLS53000474);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);264
DESARROLLO DE NEGOCIOS (CLS51000480);FINANCIERA (CLS80000005);265
PLANEACION Y COMBUSTIBLE MERCADO MAYORISTA (CLS53000536);GENERACION (CLS80000006);266
ASUNTOS CORPORATIVOS (CLS50000056);ASUNTOS CORPORATIVOS (CLS80000002);267
MANTENIMIENTO ACUEDUCTOS Y SANEAMIENTO (CLS53000607);GENERACION (CLS80000006);268
GESTION RECURSOS CENTRAL TERMICA (CLS53000352);GENERACION (CLS80000006);269
TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS50000059);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);270
EXPERIENCIA DE CLIENTES (CLS51000728);COMERCIAL (CLS80000004);271
GESTION CONTABLE (CLS51000483);FINANCIERA (CLS80000005);272
CENTRALES HIDRAULICAS MENORES (CLS51000490);GENERACION (CLS80000006);273
PROYECTOS GENERACION (CLS51000486);GENERACION (CLS80000006);274
CONTABILIDAD E IMPUESTOS (CLS51000151);FINANCIERA (CLS80000005);275
PROYECTOS SOCIALES DE GENERACION (CLS53000033);GENERACION (CLS80000006);276
GENERACION TERMICA (CLS50000062);GENERACION (CLS80000006);277
MANTENIMIENTO MECANICO TERMICAS (CLS53000487);GENERACION (CLS80000006);278
MANTENIMIENTOS MAYORES CENTRALES GENERACION (CLS53000591);GENERACION (CLS80000006);279
ARQUITECTURA Y DIGITAL (CLS51000850);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);280
PROYECTOS GENERACION EOLICA (CLS53000028);GENERACION (CLS80000006);281
BIENES INMUEBLES Y SERVICIOS ADMTIVOS (CLS51000336);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);282
GESTION TECNICA TERMICAS (CLS53000423);GENERACION (CLS80000006);283
MANTENIMIENTO ZONA TOLIMA SUR (CLS53000261);TRANSMISION Y DISTRIBUCION (CLS80000008);284
COMERCIAL (CLS51000576);COMERCIAL (CLS80000004);285
CADENA DE ABASTECIMIENTO (CLS51000276);FINANCIERA (CLS80000005);286
